GPL_NAME,GPL_TYPE,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
Aberdeen City,Workplace,S12000033,Aberdeen City,S12,Council Area,2,-10,-6,-6,1,-1,3,4,0,2,1,3,1,3,2,2,1,1,2,1,1,0,0,1,0,0,-2,-2,-4,-9,-16,-24,-29,-31,-26,-32,-48,-61,-67,-69,-69,-60,-58
Aberdeen City,Residential,S12000033,Aberdeen City,S12,Council Area,-1,1,1,2,0,1,1,-1,2,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,1,0,1,1,1,3,1,4,7,10,12,13,11,8,18,24,27,28,30,NA,NA
Aberdeenshire,Retail & recreation,S12000034,Aberdeenshire,S12,Council Area,1,6,8,3,4,4,0,5,-11,2,1,9,4,9,13,9,11,10,14,12,6,13,9,9,8,10,9,5,7,11,4,-1,2,-7,-26,-34,-33,-66,-68,-68,-69,-78,-80
Aberdeenshire,Grocery & pharmacy,S12000034,Aberdeenshire,S12,Council Area,-3,4,3,0,2,0,-1,1,-5,5,0,4,0,3,2,2,-2,-2,0,-2,-2,-2,-3,0,2,12,10,7,8,20,25,24,27,9,8,-10,-7,-23,-28,-29,-31,-39,-46
Aberdeenshire,Parks,S12000034,Aberdeenshire,S12,Council Area,-6,28,23,13,10,1,-1,15,-13,8,3,3,-10,-1,5,18,29,29,36,35,15,45,35,30,21,9,15,-6,4,16,18,21,26,20,19,28,-5,-22,-21,-14,-26,-51,-45
Aberdeenshire,Transit stations,S12000034,Aberdeenshire,S12,Council Area,1,1,1,-7,4,3,6,9,-8,1,-1,-4,2,6,5,0,-1,1,5,1,0,18,-5,-1,-4,2,0,-12,2,-8,-16,-17,-15,-21,-25,-20,-36,-56,-59,-59,-62,-66,-58
Aberdeenshire,Workplace,S12000034,Aberdeenshire,S12,Council Area,-3,-17,-11,-10,1,0,0,4,0,1,2,2,0,0,-1,1,2,2,3,2,1,1,2,2,2,1,-1,-3,-5,-5,-11,-18,-23,-25,-22,-26,-42,-57,-64,-66,-67,-55,-52
Aberdeenshire,Residential,S12000034,Aberdeenshire,S12,Council Area,0,2,1,2,0,1,1,-1,2,1,1,0,1,0,0,0,0,0,0,0,0,-2,0,0,1,1,1,3,1,3,6,9,10,11,9,NA,16,23,26,26,27,NA,NA
Angus council,Retail & recreation,S12000041,Angus,S12,Council Area,4,13,7,7,8,6,-1,18,-5,4,6,10,9,9,12,5,11,9,10,12,3,18,6,7,5,3,11,1,10,9,-1,-4,-3,-10,-33,-32,-32,-68,-71,-75,-73,-82,-80
Angus council,Grocery & pharmacy,S12000041,Angus,S12,Council Area,-8,-2,-1,0,-2,-3,-1,-5,-9,2,-2,-2,-3,2,-6,2,1,4,2,0,6,-4,0,3,3,10,6,10,10,16,21,21,23,8,15,-12,-6,-23,-28,-29,-28,-33,-44
Angus council,Parks,S12000041,Angus,S12,Council Area,-22,10,0,6,16,2,-13,33,-22,10,2,18,-12,3,-5,14,NA,18,25,24,0,28,6,10,6,2,15,-6,33,14,12,25,NA,37,27,70,12,-4,-6,-27,-25,-42,-28
Angus council,Transit stations,S12000041,Angus,S12,Council Area,2,2,3,4,8,1,-7,13,-5,8,4,12,4,7,0,6,6,3,1,2,0,7,6,10,3,-2,-1,-9,7,-5,-8,-20,-18,-14,-29,-2,-35,-51,-52,-58,-57,-63,-51
Angus council,Workplace,S12000041,Angus,S12,Council Area,-4,-17,0,1,-1,-1,-3,1,-3,0,1,0,0,1,-5,-1,0,1,0,0,-1,-3,-1,0,0,-1,-2,-1,-4,-7,-9,-17,-21,-22,-23,-25,-39,-57,-63,-65,-65,-56,-48
Angus council,Residential,S12000041,Angus,S12,Council Area,NA,3,1,0,1,1,NA,NA,2,0,0,0,1,NA,NA,1,0,0,0,0,NA,NA,1,0,1,1,1,NA,NA,3,5,8,8,9,NA,NA,13,20,NA,NA,NA,NA,NA
Antrim And Newtownabbey,Retail & recreation,N09000001,Antrim and Newtownabbey,N09,Local Government District,-6,8,10,5,3,2,-4,-2,0,2,2,3,-1,2,1,5,7,5,6,4,-2,6,1,4,2,4,-1,-13,-15,3,-11,-18,-14,-21,-43,-56,-38,-60,-66,-66,-67,-75,-81
Antrim And Newtownabbey,Grocery & pharmacy,N09000001,Antrim and Newtownabbey,N09,Local Government District,-3,-6,-5,-5,-4,-5,-4,0,0,3,1,1,0,-2,-6,1,3,5,5,1,4,5,3,9,10,30,19,11,4,25,10,19,17,12,16,-18,-4,-15,-18,-24,-24,-28,-46
Antrim And Newtownabbey,Parks,N09000001,Antrim and Newtownabbey,N09,Local Government District,NA,NA,NA,NA,NA,NA,-44,7,NA,NA,NA,NA,NA,-31,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56,-61
Antrim And Newtownabbey,Transit stations,N09000001,Antrim and Newtownabbey,N09,Local Government District,3,10,12,4,8,0,-6,-1,13,12,8,17,6,1,2,10,8,7,17,13,-1,4,13,11,7,7,-5,-21,-19,-13,-33,-30,-36,-49,-57,-64,-63,-70,-76,-73,-79,-80,-89
Antrim And Newtownabbey,Workplace,N09000001,Antrim and Newtownabbey,N09,Local Government District,-1,-14,-14,-14,-14,-15,-2,-2,-1,-1,1,1,2,0,-4,2,1,1,2,2,2,0,2,1,1,-1,-3,-2,-4,-18,-50,-19,-23,-25,-21,-27,-40,-54,-62,-64,-65,-57,-52
Antrim And Newtownabbey,Residential,N09000001,Antrim and Newtownabbey,N09,Local Government District,NA,3,3,3,3,3,2,NA,1,0,0,0,0,0,NA,0,-1,0,0,0,0,NA,1,0,1,2,2,4,NA,6,17,10,12,13,NA,NA,17,23,27,28,29,NA,NA
Ards And North Down,Retail & recreation,N09000011,Ards and North Down,N09,Local Government District,-2,3,7,-1,8,-1,-6,0,-1,1,1,2,-1,3,5,3,4,6,3,2,2,3,-1,3,1,6,0,-9,-8,6,-2,-10,-10,-18,-38,-48,-38,-60,-63,-64,-68,-74,-78
Ards And North Down,Grocery & pharmacy,N09000011,Ards and North Down,N09,Local Government District,-5,-1,-4,-12,-3,-5,-6,-2,-2,3,-3,1,2,-1,1,7,2,1,4,4,3,2,1,5,3,13,17,13,10,26,7,12,10,12,15,-6,-4,-21,-25,-25,-22,-22,-39
Ards And North Down,Parks,N09000011,Ards and North Down,N09,Local Government District,-10,3,17,-26,10,-3,-20,5,-13,4,-9,1,-16,-7,5,4,10,3,12,3,19,10,-20,4,-18,-14,2,-23,3,-10,-4,-8,21,31,-9,11,-31,-33,-40,-17,-45,-43,-57
Ards And North Down,Transit stations,N09000011,Ards and North Down,N09,Local Government District,-8,-11,-15,-17,-9,-18,-20,0,-11,-8,-1,-4,-7,-7,5,-2,-5,1,-3,-3,-4,8,-6,-6,-7,-9,-9,-19,-2,-17,-47,-28,-29,-32,-36,-13,-49,-63,-65,-65,-68,-60,-57
Ards And North Down,Workplace,N09000011,Ards and North Down,N09,Local Government District,-3,-14,-16,-17,-16,-16,-4,-2,-2,-1,-1,-1,1,0,0,1,1,1,2,2,2,0,2,0,0,-1,-1,-1,-5,-14,-47,-18,-23,-26,-28,-37,-41,-57,-65,-68,-68,-59,-56
Ards And North Down,Residential,N09000011,Ards and North Down,N09,Local Government District,NA,2,2,4,3,4,2,NA,1,1,0,0,1,1,NA,0,0,0,0,0,0,NA,1,1,1,2,2,4,NA,5,15,9,11,12,12,NA,16,23,26,27,28,NA,NA
Argyll and Bute Council,Retail & recreation,S12000035,Argyll and Bute,S12,Council Area,12,11,10,7,5,-7,-12,10,1,6,5,2,-2,6,10,9,10,18,7,4,-1,16,9,9,5,-2,8,2,13,0,-5,-6,-9,-16,-41,-43,-42,-77,-78,-74,-79,-83,-88
Argyll and Bute Council,Grocery & pharmacy,S12000035,Argyll and Bute,S12,Council Area,0,4,7,4,1,-4,-11,-3,1,3,0,-3,1,1,-3,6,4,10,7,8,1,9,4,6,9,11,15,9,18,24,23,27,26,11,11,-4,-4,-31,-32,-38,-35,-44,-45
Argyll and Bute Council,Parks,S12000035,Argyll and Bute,S12,Council Area,20,29,41,27,21,-1,-20,20,8,24,22,12,6,3,10,26,39,37,18,31,4,38,15,30,24,0,41,6,46,24,19,22,36,56,29,68,3,-31,-41,-32,-37,-49,-34
Argyll and Bute Council,Transit stations,S12000035,Argyll and Bute,S12,Council Area,-4,17,20,14,4,-3,-17,9,13,8,12,4,6,7,2,28,14,20,13,16,3,20,18,13,7,1,20,6,15,15,-2,-4,3,0,-12,-1,-18,-52,-56,-57,-61,-63,-57
Argyll and Bute Council,Workplace,S12000035,Argyll and Bute,S12,Council Area,-2,1,0,-1,1,-2,0,2,1,-1,-1,-2,0,6,4,2,1,1,0,2,1,4,0,-1,-1,-1,-3,2,1,-3,-9,-15,-19,-21,-23,-27,-41,-59,-65,-65,-65,-57,-52
Argyll and Bute Council,Residential,S12000035,Argyll and Bute,S12,Council Area,NA,1,1,1,1,2,NA,NA,1,0,1,1,1,NA,NA,0,0,-1,0,0,NA,NA,1,1,2,2,0,NA,NA,3,5,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armagh City and Banbridge And Craigavon,Retail & recreation,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,-5,4,9,0,1,-3,-4,-5,-5,-3,-3,-1,-2,-2,2,3,2,5,0,-1,-1,1,-5,3,-2,0,-4,-13,-16,-1,-16,-18,-17,-25,-39,-50,-35,-60,-66,-67,-68,-75,-82
Armagh City and Banbridge And Craigavon,Grocery & pharmacy,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,-8,-1,-1,-4,-3,-1,1,1,3,6,1,1,2,1,-1,4,2,1,2,3,3,1,4,8,9,24,17,6,3,20,3,8,12,4,8,-12,-8,-16,-22,-24,-24,-29,-45
Armagh City and Banbridge And Craigavon,Parks,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,-33,4,4,-30,8,-10,-20,17,-10,0,5,9,-12,-31,2,4,15,39,17,12,-6,3,-21,4,-18,-21,7,-31,11,-4,-21,9,36,31,-22,9,-17,-46,-50,-42,-50,-64,-66
Armagh City and Banbridge And Craigavon,Transit stations,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,-11,-8,-13,-16,-11,-12,-3,-3,-4,-2,-7,-2,-4,-6,0,-1,4,-1,-3,-3,-1,-3,-8,-1,-6,-14,-12,-26,-23,-28,-50,-37,-32,-40,-38,-32,-50,-58,-63,-64,-66,-63,-65
Armagh City and Banbridge And Craigavon,Workplace,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,-1,-15,-15,-12,-10,-11,-1,0,0,1,1,0,-1,1,-3,1,2,1,1,2,1,-3,1,1,0,-1,-2,-3,-3,-19,-51,-18,-19,-22,-22,-29,-34,-47,-55,-59,-60,-51,-47
Armagh City and Banbridge And Craigavon,Residential,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,1,3,3,3,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,2,4,3,7,17,10,10,12,11,NA,15,21,24,26,27,NA,NA
Bath and North East Somerset,Retail & recreation,E06000022,Bath and North East Somerset,E06,Unitary Authority,-2,22,26,22,16,15,11,6,-4,1,7,2,-3,2,19,6,12,0,-2,3,2,4,1,-3,2,-2,-2,-2,-11,-6,-22,-35,-40,-47,-66,-69,-60,-79,-82,-83,-86,-91,-91
Bath and North East Somerset,Grocery & pharmacy,E06000022,Bath and North East Somerset,E06,Unitary Authority,-3,2,1,0,2,-1,-1,1,0,2,0,3,0,3,6,3,3,0,7,5,4,3,5,2,6,11,11,13,8,21,24,16,21,5,-1,-17,-13,-33,-31,-32,-35,-44,-48
Bath and North East Somerset,Parks,E06000022,Bath and North East Somerset,E06,Unitary Authority,-26,32,38,32,17,37,-4,-2,-14,-1,14,10,-23,-31,30,12,14,-11,-8,28,4,8,-1,-1,20,-3,12,-4,18,36,1,0,-17,-9,-17,9,3,-20,-16,-18,-38,-69,-54
Bath and North East Somerset,Transit stations,E06000022,Bath and North East Somerset,E06,Unitary Authority,2,7,12,6,4,8,16,15,2,10,5,6,11,7,31,6,8,1,3,8,11,16,-2,2,0,0,-3,-4,18,-8,-24,-40,-45,-47,-49,-45,-56,-70,-73,-72,-74,-75,-75
Bath and North East Somerset,Workplace,E06000022,Bath and North East Somerset,E06,Unitary Authority,-3,-9,-9,-11,-10,-14,3,2,3,7,4,6,4,5,5,5,6,4,5,6,8,4,2,3,3,3,0,4,-12,-7,-16,-30,-35,-38,-32,-44,-55,-67,-72,-74,-73,-64,-66
Bath and North East Somerset,Residential,E06000022,Bath and North East Somerset,E06,Unitary Authority,NA,1,1,2,2,2,-1,NA,1,0,0,0,1,0,-1,0,-1,1,1,0,-1,-1,1,1,1,1,3,2,NA,4,8,13,15,16,NA,NA,19,25,29,29,30,NA,NA
Bedford,Retail & recreation,E06000055,Bedford,E06,Unitary Authority,-10,9,9,6,2,3,-7,-7,-5,-4,0,-2,-1,2,3,1,2,3,-2,1,-2,-1,-2,-4,-4,-3,-6,-10,-17,-6,-12,-19,-20,-28,-44,-55,-40,-73,-76,-75,-78,-85,-86
Bedford,Grocery & pharmacy,E06000055,Bedford,E06,Unitary Authority,-6,2,-3,1,0,2,0,2,1,4,-1,2,3,2,4,5,4,4,4,6,2,6,3,5,6,13,16,9,5,25,25,31,32,15,2,-14,-6,-21,-23,-24,-25,-40,-47
Bedford,Parks,E06000055,Bedford,E06,Unitary Authority,NA,NA,NA,-2,-17,9,-3,-20,NA,NA,-9,-15,-24,-25,0,NA,NA,-13,-23,NA,6,-1,NA,NA,2,-6,NA,-15,-38,NA,NA,-9,-6,2,-1,18,NA,NA,NA,-4,-17,-54,-51
Bedford,Transit stations,E06000055,Bedford,E06,Unitary Authority,-32,-5,-10,-9,-14,-8,-2,-24,-5,-4,-5,-6,-4,5,8,-4,-3,-4,-7,-1,-2,-12,-3,-6,-7,-12,-11,-21,-30,-15,-27,-33,-38,-36,-45,-44,-49,-63,-65,-66,-64,-72,-72
Bedford,Workplace,E06000055,Bedford,E06,Unitary Authority,-1,-18,-16,-16,-18,-19,-3,0,-1,-1,0,-2,-3,-3,0,-2,-1,0,-1,-2,0,0,-1,-1,-2,-3,-4,-4,-3,-7,-14,-20,-25,-26,-21,-24,-42,-53,-59,-61,-62,-51,-49
Bedford,Residential,E06000055,Bedford,E06,Unitary Authority,1,3,3,3,3,3,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,2,2,2,2,3,7,10,11,12,10,NA,17,24,26,27,28,NA,NA
Belfast,Retail & recreation,N09000003,Belfast,N09,Local Government District,-1,7,8,3,6,-1,-5,1,1,0,-1,3,-1,-1,3,3,6,6,3,-2,-3,2,-4,1,-2,-3,-8,-19,-18,-7,-30,-28,-30,-38,-52,-61,-49,-70,-74,-75,-77,-81,-85
Belfast,Grocery & pharmacy,N09000003,Belfast,N09,Local Government District,-5,-6,-3,-7,-2,-2,-3,-1,0,5,0,2,2,-2,2,1,2,3,3,3,-1,1,0,7,5,23,18,7,5,18,-6,7,8,3,1,-21,-13,-21,-27,-30,-28,-29,-42
Belfast,Parks,N09000003,Belfast,N09,Local Government District,-21,-1,7,-21,3,-16,-23,6,-17,0,-4,10,-13,-16,-7,-1,11,18,11,1,-5,-2,-19,11,-9,-18,-6,-29,-2,-11,-30,-9,-5,11,-29,-5,-27,-31,-40,-14,-44,-44,-47
Belfast,Transit stations,N09000003,Belfast,N09,Local Government District,1,-3,-4,-6,-5,-4,-6,9,-3,-1,-3,4,0,-4,0,0,0,0,-5,-5,-6,-6,-9,-8,-12,-15,-18,-29,-24,-29,-56,-42,-46,-49,-55,-54,-60,-68,-72,-74,-77,-74,-76
Belfast,Workplace,N09000003,Belfast,N09,Local Government District,2,-13,-13,-13,-12,-12,0,1,-2,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,-1,-2,-3,-6,-5,-6,-26,-59,-31,-33,-36,-32,-36,-49,-62,-69,-71,-71,-62,-59
Belfast,Residential,N09000003,Belfast,N09,Local Government District,1,2,2,3,2,2,1,0,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,1,1,2,2,4,3,7,17,12,13,14,12,10,18,24,27,28,29,20,17
Blackburn with Darwen,Retail & recreation,E06000008,Blackburn with Darwen,E06,Unitary Authority,-2,4,10,-2,3,-4,-3,-4,-5,-4,13,1,0,15,6,5,4,4,7,7,-2,4,0,-1,-3,0,-2,-9,-5,-2,-9,-18,-11,-19,-44,-51,-40,-70,-74,-73,-75,-83,-85
Blackburn with Darwen,Grocery & pharmacy,E06000008,Blackburn with Darwen,E06,Unitary Authority,-3,0,-1,-3,-2,-6,0,1,-1,8,0,2,3,0,8,3,0,6,1,5,1,7,0,2,6,10,13,12,15,25,26,29,32,14,4,-7,-4,-19,-22,-24,-28,-37,-42
Blackburn with Darwen,Parks,E06000008,Blackburn with Darwen,E06,Unitary Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackburn with Darwen,Transit stations,E06000008,Blackburn with Darwen,E06,Unitary Authority,-2,-1,-12,-10,-11,-11,-8,-5,1,-2,-1,-2,2,0,5,2,-4,0,3,1,0,10,-3,-3,-4,0,1,-12,-2,-6,-18,-25,-18,-20,-29,-17,-34,-63,-64,-64,-66,-74,-71
Blackburn with Darwen,Workplace,E06000008,Blackburn with Darwen,E06,Unitary Authority,4,-16,-16,-16,-18,-19,0,-1,-2,0,0,1,0,3,2,2,1,1,2,3,5,6,2,1,3,2,0,1,1,-2,-6,-12,-15,-18,-18,-19,-34,-47,-55,-58,-59,-53,-50
Blackburn with Darwen,Residential,E06000008,Blackburn with Darwen,E06,Unitary Authority,NA,3,3,3,4,4,0,NA,1,1,1,1,1,0,NA,0,1,0,0,0,-1,NA,0,1,1,1,1,1,NA,2,4,6,7,9,9,NA,14,20,23,24,25,NA,NA
Blackpool,Retail & recreation,E06000009,Blackpool,E06,Unitary Authority,21,21,17,15,15,5,4,12,-6,10,0,3,-5,7,4,1,7,11,6,6,7,15,0,10,3,1,2,2,7,5,-5,-13,-12,-25,-53,-57,-41,-71,-73,-73,-77,-87,-87
Blackpool,Grocery & pharmacy,E06000009,Blackpool,E06,Unitary Authority,0,1,-2,-7,0,-1,0,1,-2,3,-2,-1,1,1,4,2,3,4,2,5,4,6,0,4,1,7,10,6,10,17,21,17,21,9,6,-8,-7,-23,-26,-25,-28,-40,-43
Blackpool,Parks,E06000009,Blackpool,E06,Unitary Authority,NA,NA,NA,NA,NA,NA,35,36,NA,NA,NA,4,0,26,36,NA,NA,NA,NA,NA,75,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22,16,NA,NA,-14,-22,-28,-69,-64
Blackpool,Transit stations,E06000009,Blackpool,E06,Unitary Authority,3,7,1,-6,-8,-10,-6,-3,-7,4,-5,2,-4,-3,-1,4,3,2,0,11,9,15,2,3,-3,-8,4,-1,3,-2,-8,-22,-23,-20,-34,-18,-40,-51,-52,-54,-58,-70,-65
Blackpool,Workplace,E06000009,Blackpool,E06,Unitary Authority,2,-14,-13,-14,-15,-15,0,3,-3,2,1,-1,-1,0,2,-1,1,1,1,2,4,2,0,1,1,0,1,1,0,-4,-6,-14,-17,-19,-21,-28,-36,-49,-57,-58,-59,-54,-54
Blackpool,Residential,E06000009,Blackpool,E06,Unitary Authority,1,2,2,3,3,3,1,0,2,0,1,1,1,0,0,0,0,0,0,0,-1,-1,1,0,1,1,1,1,1,2,4,7,7,8,8,NA,12,18,20,21,22,NA,NA
Blaenau Gwent,Retail & recreation,W06000019,Blaenau Gwent,W06,Unitary Authority,-17,4,1,-4,-3,-2,-3,-2,-2,-1,0,0,-7,-1,6,8,10,0,0,4,5,3,1,3,2,-4,3,-5,-8,9,-6,-17,-17,-16,-30,-35,-28,-65,-69,-70,-68,-74,-75
Blaenau Gwent,Grocery & pharmacy,W06000019,Blaenau Gwent,W06,Unitary Authority,-9,-5,1,-5,-4,-2,-2,-6,0,11,-5,0,-3,10,-3,0,2,2,3,6,1,-2,0,4,5,15,10,8,0,15,17,19,24,7,10,-11,-9,-24,-28,-31,-34,-39,-46
Blaenau Gwent,Parks,W06000019,Blaenau Gwent,W06,Unitary Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blaenau Gwent,Transit stations,W06000019,Blaenau Gwent,W06,Unitary Authority,NA,-16,-14,-21,-21,-18,-16,NA,-11,-7,-9,0,-9,-12,NA,-2,2,-9,0,0,-6,NA,-2,-4,-10,-11,2,-20,NA,-5,-21,-28,-19,-18,-14,NA,-35,-47,-50,-49,-49,-57,NA
Blaenau Gwent,Workplace,W06000019,Blaenau Gwent,W06,Unitary Authority,-7,-13,-11,-15,-16,-15,1,-1,-2,4,1,0,-1,2,-1,2,2,2,3,2,3,-4,1,3,2,3,-2,-2,-6,-3,-6,-12,-14,-20,-12,-21,-32,-45,-52,-54,-56,-48,-46
Blaenau Gwent,Residential,W06000019,Blaenau Gwent,W06,Unitary Authority,NA,3,3,4,4,3,NA,NA,1,1,1,1,2,NA,NA,0,-1,1,0,0,NA,NA,1,0,1,0,0,NA,NA,2,4,7,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borough of Halton,Retail & recreation,E06000006,Halton,E06,Unitary Authority,10,4,8,2,2,-1,-5,3,-1,0,-2,2,1,0,6,5,4,3,3,3,-4,11,0,1,3,0,1,-6,9,3,-3,-9,-4,-14,-36,-47,-38,-65,-67,-67,-69,-77,-78
Borough of Halton,Grocery & pharmacy,E06000006,Halton,E06,Unitary Authority,-5,-2,1,-5,0,-1,0,-1,-2,9,0,3,4,2,6,5,3,4,3,3,-1,3,2,7,2,11,12,-6,-4,4,11,7,13,11,5,-11,-8,-21,-30,-29,-27,-39,-43
Borough of Halton,Parks,E06000006,Halton,E06,Unitary Authority,NA,NA,NA,NA,NA,NA,-17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62,-46
Borough of Halton,Transit stations,E06000006,Halton,E06,Unitary Authority,-4,-6,-3,-3,-6,-3,-4,-3,-5,1,-3,-2,2,6,7,-2,-7,1,0,4,5,4,-1,-2,-1,-2,-1,-3,-8,-11,-16,-28,-24,-27,-31,-19,-41,-57,-57,-57,-57,-63,-60
Borough of Halton,Workplace,E06000006,Halton,E06,Unitary Authority,1,-14,-13,-14,-15,-15,1,-2,-3,0,1,1,2,3,5,1,1,2,3,1,3,3,1,1,1,0,-1,-1,0,-4,-7,-14,-18,-21,-16,-20,-37,-50,-57,-59,-60,-50,-48
Borough of Halton,Residential,E06000006,Halton,E06,Unitary Authority,NA,2,2,3,4,3,0,NA,1,1,0,1,1,0,NA,0,0,0,0,0,-1,NA,1,0,0,1,1,NA,NA,2,4,7,8,9,NA,NA,14,21,23,24,25,NA,NA
Bracknell Forest,Retail & recreation,E06000036,Bracknell Forest,E06,Unitary Authority,-10,14,12,11,14,13,-1,-3,-3,2,-1,3,3,1,7,3,1,-1,-2,1,-5,-4,-1,-2,0,0,-5,-11,-19,-5,-14,-17,-18,-27,-45,-55,-42,-67,-68,-70,-72,-82,-83
