GPL_CD,GPL_NM,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,AREALHECT
GGL021,Cardiff,W06000015,Cardiff,W06,Unitary Authority,W92000004,Wales,14089.79
GGL022,Carmarthenshire,W06000010,Carmarthenshire,W06,Unitary Authority,W92000004,Wales,237027.62
GGL023,Causeway Coast and Glens,N09000004,Causeway Coast and Glens,N09,Local Government District,N92000002,Northern Ireland,198553.46
GGL024,Central Bedfordshire,E06000056,Central Bedfordshire,E06,Unitary Authority,E12000006,East of England,71566.57
GGL025,Ceredigion,W06000008,Ceredigion,W06,Unitary Authority,W92000004,Wales,178551.05
GGL026,Cheshire East,E06000049,Cheshire East,E06,Unitary Authority,E12000002,North West,116635.77
GGL027,Cheshire West and Chester,E06000050,Cheshire West and Chester,E06,Unitary Authority,E12000002,North West,92001.77
GGL028,City of Bristol,E06000023,"Bristol, City of",E06,Unitary Authority,E12000009,South West,10969.99
GGL029,Clackmannanshire,S12000005,Clackmannanshire,S12,Council Area,S92000003,Scotland,15897.22
GGL030,Conwy Principal Area,W06000003,Conwy,W06,Unitary Authority,W92000004,Wales,112584.09
GGL031,Cornwall,E06000052,Cornwall,E06,Unitary Authority,E12000009,South West,354542.8
GGL032,County Durham,E06000047,County Durham,E06,Unitary Authority,E12000001,North East,222588.59
GGL033,Cumbria,E10000006,Cumbria,E10,County,E12000002,North West,676792.28
GGL034,Darlington,E06000005,Darlington,E06,Unitary Authority,E12000001,North East,19747.58
GGL035,Denbighshire,W06000004,Denbighshire,W06,Unitary Authority,W92000004,Wales,83677.04
GGL036,Derby,E06000015,Derby,E06,Unitary Authority,E12000004,East Midlands,7803.11
GGL037,Derbyshire,E10000007,Derbyshire,E10,County,E12000004,East Midlands,254675.56
GGL038,Derry And Strabane,N09000005,Derry City and Strabane,N09,Local Government District,N92000002,Northern Ireland,125124.15
GGL039,Devon,E10000008,Devon,E10,County,E12000009,South West,656379.89
GGL040,Dorset,J19000003,Dorset Ceremonial County,J19,Ceremonial County,E12000009,South West,265302.7
GGL041,Dumfries and Galloway,S12000006,Dumfries and Galloway,S12,Council Area,S92000003,Scotland,642570.85
GGL042,Dundee City Council,S12000042,Dundee City,S12,Council Area,S92000003,Scotland,5983.09
GGL043,East Ayrshire Council,S12000008,East Ayrshire,S12,Council Area,S92000003,Scotland,126212.79
GGL044,East Dunbartonshire Council,S12000045,East Dunbartonshire,S12,Council Area,S92000003,Scotland,17448.9
GGL045,East Lothian Council,S12000010,East Lothian,S12,Council Area,S92000003,Scotland,67917.98
GGL046,East Renfrewshire Council,S12000011,East Renfrewshire,S12,Council Area,S92000003,Scotland,17424.95
GGL047,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,E06,Unitary Authority,E12000003,Yorkshire and the Humber,240382.58
GGL048,East Sussex,E10000011,East Sussex,E10,County,E12000008,South East,170863.14
GGL049,Edinburgh,S12000036,City of Edinburgh,S12,Council Area,S92000003,Scotland,26335.19
GGL050,Essex,E10000012,Essex,E10,County,E12000006,East of England,345857.86
GGL051,Falkirk,S12000014,Falkirk,S12,Council Area,S92000003,Scotland,29736.55
GGL052,Fermanagh And Omagh,N09000006,Fermanagh and Omagh,N09,Local Government District,N92000002,Northern Ireland,286403.19
GGL053,Fife,S12000047,Fife,S12,Council Area,S92000003,Scotland,132538.1
GGL054,Flintshire,W06000005,Flintshire,W06,Unitary Authority,W92000004,Wales,43972.41
GGL055,Glasgow City,S12000049,Glasgow City,S12,Council Area,S92000003,Scotland,17462.13
GGL056,Gloucestershire,E10000013,Gloucestershire,E10,County,E12000009,South West,265252.9
GGL057,Greater London,E12000007,London,E12,Region,E12000007,London,157203.06
GGL058,Greater Manchester,E11000001,Greater Manchester,E11,Metropolitan County,E12000002,North West,127598.17
GGL059,Gwynedd,W06000002,Gwynedd,W06,Unitary Authority,W92000004,Wales,253474.22
GGL060,Hampshire,E10000014,Hampshire,E10,County,E12000008,South East,367835.29
GGL061,Hartlepool,E06000001,Hartlepool,E06,Unitary Authority,E12000001,North East,9371.26
GGL062,Herefordshire,E06000019,"Herefordshire, County of",E06,Unitary Authority,E12000005,West Midlands,217970.94
GGL063,Hertfordshire,E10000015,Hertfordshire,E10,County,E12000006,East of England,164306.51
GGL064,Highland Council,S12000017,Highland,S12,Council Area,S92000003,Scotland,2565397.08
GGL065,Inverclyde,S12000018,Inverclyde,S12,Council Area,S92000003,Scotland,16043.87
GGL066,Isle of Anglesey,W06000001,Isle of Anglesey,W06,Unitary Authority,W92000004,Wales,71168.01
GGL067,Isle of Wight,E06000046,Isle of Wight,E06,Unitary Authority,E12000008,South East,37961.47
GGL068,Kent,E10000016,Kent,E10,County,E12000008,South East,354439.44
GGL069,Kingston upon Hull,E06000010,"Kingston upon Hull, City of",E06,Unitary Authority,E12000003,Yorkshire and the Humber,7158.37
GGL070,Lancashire,E10000017,Lancashire,E10,County,E12000002,North West,289390.74
GGL071,Leicester,E06000016,Leicester,E06,Unitary Authority,E12000004,East Midlands,7334.21
GGL072,Leicestershire,E10000018,Leicestershire,E10,County,E12000004,East Midlands,208289.39
GGL073,Lincolnshire,E10000019,Lincolnshire,E10,County,E12000004,East Midlands,593905.11
GGL074,Lisburn and Castlereagh,N09000007,Lisburn and Castlereagh,N09,Local Government District,N92000002,Northern Ireland,50578.54
GGL075,Luton,E06000032,Luton,E06,Unitary Authority,E12000006,East of England,4335.25
GGL076,Medway,E06000035,Medway,E06,Unitary Authority,E12000008,South East,19371.42
GGL077,Merseyside,E11000002,Merseyside,E11,Metropolitan County,E12000002,North West,65219.48
GGL078,Merthyr Tydfil County Borough,W06000024,Merthyr Tydfil,W06,Unitary Authority,W92000004,Wales,11144.63
GGL079,Mid And East Antrim,N09000008,Mid and East Antrim,N09,Local Government District,N92000002,Northern Ireland,105921.35
GGL080,Mid Ulster,N09000009,Mid Ulster,N09,Local Government District,N92000002,Northern Ireland,183134.12
GGL081,Middlesbrough,E06000002,Middlesbrough,E06,Unitary Authority,E12000001,North East,5388.16
GGL082,Midlothian,S12000019,Midlothian,S12,Council Area,S92000003,Scotland,35368.18
