Country,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
BR,Grocery & pharmacy,3,-0,-1,-2,7,10,6,7,-7,-29,-11,2,3,5,3,1,2,2,7,11,13,11,5,5,2,4,7,7,7,6,7,5,2,0,-16,-33,-26,-33,-32,-29,-26,-27,-35,-26,-21,-19,-17,-14,-13,-24
BR,Parks,-13,-12,-11,-5,2,1,12,32,69,51,-8,-11,-17,-23,-34,-25,-21,-11,-5,-7,-14,-17,-12,-11,-6,-5,-8,-15,-21,-23,-28,-28,-34,-45,-66,-75,-61,-62,-57,-54,-56,-64,-70,-55,-53,-48,-48,-52,-60,-66
BR,Residential,1,-1,-1,-1,-2,-1,0,1,8,10,6,1,1,3,5,-0,-1,-1,-2,-2,0,1,-2,-2,-1,-2,-2,1,3,1,4,7,10,13,16,17,20,22,23,22,23,19,17,20,19,20,20,20,16,15
BR,Retail & recreation,2,-2,-3,-1,1,2,-3,4,-14,-31,-18,-8,-5,-3,-9,-6,-5,-1,0,6,9,8,1,0,1,-2,0,-2,-8,-11,-19,-25,-36,-45,-63,-72,-65,-71,-69,-69,-67,-70,-71,-62,-60,-58,-59,-60,-63,-67
BR,Transit stations,3,9,9,8,11,12,6,2,-27,-35,-17,1,2,-2,-10,6,6,7,10,13,8,2,12,11,10,10,10,-0,-7,-4,-15,-22,-31,-37,-50,-60,-58,-63,-63,-62,-60,-59,-62,-59,-58,-57,-57,-55,-53,-57
BR,Workplaces,0,19,15,14,15,13,-4,-3,-45,-61,-18,10,13,5,-1,20,15,16,18,18,7,3,21,17,17,17,18,6,0,14,3,-6,-17,-21,-30,-34,-42,-51,-52,-50,-48,-41,-34,-43,-45,-45,-45,-42,-35,-30
CA,Grocery & pharmacy,8,-15,4,1,4,-1,5,6,2,5,2,-9,1,7,9,3,6,4,5,-1,5,7,4,1,7,27,35,19,11,23,13,7,4,-5,-12,-21,-13,-15,-21,-21,-21,-27,-35,-27,-19,-21,-23,-23,-25,-45
CA,Parks,41,63,6,9,14,10,28,36,19,9,1,-6,-5,11,23,1,8,11,18,6,17,50,31,-2,12,11,-16,-8,28,15,7,14,18,-8,11,4,-27,-10,1,-18,-10,-30,-16,-32,-13,-10,-16,-33,-17,-13
CA,Residential,-2,11,1,0,-0,1,-1,-1,-0,-0,1,4,1,-0,-1,1,0,0,1,1,0,-0,1,1,0,1,5,5,4,10,14,16,17,20,13,11,20,22,23,25,26,17,14,23,23,24,25,27,17,14
CA,Retail & recreation,13,-12,-1,1,6,2,8,10,3,2,-2,-8,-1,7,10,3,4,5,7,1,6,9,4,-1,3,7,-5,-11,-12,-12,-27,-33,-36,-44,-49,-51,-45,-49,-53,-54,-55,-59,-59,-54,-51,-52,-53,-55,-57,-63
CA,Transit stations,4,-28,-1,-0,-1,-1,6,5,-1,-0,-2,-5,1,6,6,-2,-2,-0,-1,-3,3,3,-3,-6,-3,-6,-17,-19,-22,-37,-45,-48,-52,-54,-49,-54,-63,-64,-65,-68,-66,-64,-66,-70,-68,-68,-70,-69,-63,-67
CA,Workplaces,0,-52,-1,0,1,-3,6,5,3,3,1,-5,0,7,5,-1,-0,-1,-2,-1,6,4,2,1,2,2,-6,-1,-5,-27,-35,-40,-43,-45,-32,-35,-51,-55,-59,-59,-59,-44,-44,-60,-60,-61,-61,-60,-45,-46
DE,Grocery & pharmacy,10,2,2,0,-1,2,-2,9,-5,-1,-0,3,11,5,18,8,5,2,0,1,-0,19,2,-2,2,6,19,9,13,22,11,5,-3,-2,-24,-35,-16,-18,-18,-16,-14,-21,-51,-16,-12,-13,-11,-11,-16,-13
DE,Parks,9,7,10,6,14,15,26,-24,17,15,-0,-3,9,9,21,9,8,14,-0,-11,19,31,7,-13,17,4,-3,33,75,40,31,44,15,-14,-31,1,-5,9,11,3,21,33,-49,-13,7,20,6,-13,21,61
