Country,location,category,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
MX,Sonora,Parks,6.093,5.999,-3.52,-4.625,1.663,7.958,5.941,2.806,-9.502,-2.348,4.156,-3.162,-20.826,4.737,5.675,11.477,2.521,-13.59,-40.968,-21.001,-25.662,-37.063,-44.409,-29.579,-32.721,-34.39,-33.862,-38.303,-42.442,-49.596,-35.982,-35.678,-38.249,-36.486,-41.162,-49.077,-55.773,-38.867,-36.972,-39.653,-41.386,-50.568,-59.059
MX,Sonora,Residential,-1.182,-0.536,-0.863,0.564,-0.619,-1.661,-1.442,-0.934,1.768,5.458,-1.441,-0.892,2.385,-0.957,-2.13,-2.327,9.527,5.899,12.777,9.882,12.317,9.676,10.138,12.539,13.8,15.055,14.983,17.243,12.333,12.62,16.56,17.412,18.923,19.082,21.905,15.82,13.874,19.645,19.552,20.071,22.579,28.435,20.537
MX,Sonora,Retail & recreation,7.182,6.861,-0.836,0.662,3.164,3.669,1.522,4.394,-0.584,-8.105,3.532,2.198,-6.67,6.774,7.116,5.946,-8.846,-9.583,-29.79,-23.225,-28.632,-34.634,-43.476,-33.013,-34.291,-36.946,-37.997,-38.692,-39.648,-49.653,-39.721,-39.281,-40.968,-47.213,-54.163,-56.841,-63.579,-53.805,-52.772,-52.49,-60.273,-70.732,-70.826
MX,Sonora,Transit stations,3.903,4.83,3.506,1.74,8.621,6.06,10.084,2.897,-7.546,-1.929,9.555,9.514,11.835,17.988,13.589,-9.526,12.806,11.002,-8.466,-17.884,-22.791,-28.047,-44.304,-38.04,-36.031,-36.252,-42.25,-49.137,-46.537,-57.299,-45.89,-41.096,-40.264,-45.348,-51.199,-50.311,-61.63,-54.224,-49.056,-44.275,-53.518,-68.725,-66.034
MX,Sonora,Workplace,6.013,4.011,9.97,6.334,6.169,6.052,10.386,6.203,0.279,-13.85,7.969,4.93,-2.032,7.012,5.167,3.644,-52.938,-17.372,-28.706,-25.878,-22.599,-8.769,-12.324,-29.719,-34.286,-37.368,-38.716,-34.287,-18.145,-21.196,-43.654,-47.789,-50.996,-52.101,-48.2,-32.478,-28.292,-52.607,-54.561,-57.074,-67.579,-71.242,-54.909
MX,State of Mexico,Grocery & pharmacy,9.256,7.846,3.631,4.272,4.351,4.178,1.154,3.556,4.042,-5.302,1.609,1.554,2.634,5.202,8.146,4.256,5.085,6.405,3.342,3.059,-0.03,-1.938,-6.038,-8.4,-6.934,-10.415,-11.913,-10.226,-6.636,-12.228,-11.532,-8.062,-8.494,-5.879,-1.973,0.203,-7.991,-6.237,-6.418,-3.374,-2.002,-20.205,-18.587
MX,State of Mexico,Parks,5.246,3.164,0.482,3.526,4.525,3.547,2.896,6.092,5.25,-6.292,1.867,3.176,3.16,2.497,1.067,1.737,-7.116,-3.722,-8.169,-9.356,-11.78,-20.549,-26.699,-20.734,-23.771,-26.143,-26.971,-24.216,-27.041,-36.211,-26.109,-27.176,-29.44,-31.698,-29.415,-29.902,-38.118,-26.969,-27.142,-27.117,-29.259,-40.333,-40.858
MX,State of Mexico,Residential,-1.411,-1.306,-0.939,-1.699,-1.835,-1.835,-2.32,-0.347,-0.505,6.953,-1.961,-1.766,-2.176,-1.388,-1.479,-1.616,13.822,0.522,3.617,4.674,7.749,7.026,5.25,10.615,13.416,14.665,15.801,16.47,11.486,9.211,14.506,15.817,17.163,18.795,20.039,14.339,10.685,18.191,19.271,18.633,22.5,28.829,18.312
MX,State of Mexico,Retail & recreation,5.34,6.084,2.081,2.602,2.162,2.939,0.163,0.165,3.584,-7.915,-0.314,-0.087,1.978,5.646,1.706,0.273,-3.292,-1.13,-4.506,-6.349,-11.57,-19.31,-21.888,-19.645,-24.807,-27.981,-29.817,-30.311,-32.11,-36.298,-27.285,-25.74,-27.555,-37.867,-48.326,-49.632,-53.783,-46.28,-44.353,-42.438,-47.706,-63.479,-60.413
MX,State of Mexico,Transit stations,4.234,5.465,3.457,2.395,3.144,4.567,4.06,2.86,2.478,-16.257,3.749,2.388,1.837,7.463,4.489,-2.62,-34.685,-8.303,-15.796,-19.403,-22.133,-23.69,-26.819,-34.023,-38.751,-40.569,-43.41,-43.788,-38.679,-40.706,-44.787,-47.35,-48.965,-49.016,-45.632,-39.286,-41.869,-49.115,-51.844,-50.366,-56.888,-67.4,-58.064
MX,State of Mexico,Workplace,5.443,3.034,5.124,9.658,10.475,10.796,13.313,6.387,4.534,-16.722,11.332,10.291,9.798,3.28,3.919,1.693,-56.518,2.617,-3.061,-7.139,-12.448,-3.169,-4.168,-27.232,-31.862,-34.551,-36.434,-33.597,-14.286,-15.628,-37.834,-40.08,-42.865,-45.002,-42.13,-23.097,-22.02,-48.126,-50.135,-51.092,-63.324,-72.838,-46.274
MX,Tabasco,Grocery & pharmacy,7.074,7.61,7.131,3.949,0.216,-0.803,-1.295,-1.783,-0.466,-3.141,2.2,-4.586,-1.096,8.257,12.217,8.492,4.335,9.868,3.409,3.151,1.465,-5.926,-16.535,-16.779,-19.728,-27.41,-26.206,-22.261,-19.616,-26.706,-22.052,-21.476,-16.956,-24.473,-23.205,-22.688,-31.392,-25.368,-28.169,-30.484,-31.769,-44.691,-37.188
MX,Tabasco,Parks,7.403,7.42,8.962,4.328,6.45,-2.691,6.535,1.391,8.694,2.898,7.012,3.555,7.659,15.174,15.541,6.146,-5.186,4.241,-3.807,-6.521,-11.363,-23.975,-36.433,-28.648,-34.114,-39.786,-39.692,-35.254,-37.612,-48.128,-37.699,-39.222,-38.794,-45.315,-43.115,-43.477,-51.126,-43.85,-47.014,-47.81,-50.368,-59.69,-53.814
