Country,location,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
SA,Saudi Arabia,Retail & recreation,-6.785,-9.292,-6.42,-4.814,2.45,2.831,0.593,0.839,-2.22,-1.25,-1.207,1.027,-0.934,-4.264,-3.938,-8.061,-5.337,-7.106,-9.567,-15.8,-16.135,-14.427,-29.026,-34.732,-38.274,-41.178,-50.425,-49.072,-48.566,-57.589,-55.55,-54.218,-57.14,-65.036,-56.103,-53.965,-55.552,-55.431,-55.575,-56.651,-66.364,-58.138,-54.668
SA,Saudi Arabia,Transit stations,-7.372,-7.885,-3.249,-2.595,-1.967,-10.102,-6.45,-6.258,-8.438,-8.113,-6.423,-9.468,-16.54,-16.194,-17.74,-20.574,-18.722,-21.013,-24.952,-30.962,-27.803,-33.779,-43.125,-46.934,-50.213,-55.958,-61.597,-68.605,-69.037,-72.221,-73.445,-72.714,-75.723,-81.912,-77.019,-74.545,-74.581,-74.156,-74.479,-76.746,-82.871,-78.23,-75.557
SA,Saudi Arabia,Workplaces,4.327,3.876,3.049,-1.111,3.179,-2.644,1.939,4.698,4.421,4.024,3.585,3.83,-2.621,1.552,3.843,-8.255,-8.729,-8.842,-9.369,-4.848,-0.308,-11.222,-19.406,-24.008,-27.445,-30.739,-21.166,-19.584,-37.464,-42.291,-43.143,-43.612,-46.033,-37.927,-31.049,-45.245,-46.273,-46.026,-46.035,-45.969,-40.286,-33.69,-46.813
SE,Sweden,Grocery & pharmacy,0.062,0.375,8.763,1.911,4.082,1.641,3.562,-2.104,1.999,1.876,-0.551,2.529,1.301,3.895,-1.884,0.247,0.639,3.979,11.166,7.996,9.203,-1.927,3.114,0.389,-3.284,-1.914,-5.04,-4.937,-8.655,-8.368,-7.384,0.537,-2.052,-4.599,-4.078,-9.787,-9.593,-6.966,-4.894,-7.504,-6.775,-5.387,-9.006
SE,Sweden,Parks,23.363,23.505,8.364,4.296,10.358,16.058,8.137,-6.903,10.105,4.864,-2.169,7.628,23.907,35.973,-0.255,8.197,3.182,9.571,-16.539,-3.548,58.782,-15.052,10.755,2.455,0.639,39.543,10.717,66.354,57.016,7.893,22.228,24.969,48.294,42.618,52.373,42.634,7.893,27.455,27.436,-5.901,5.663,57.463,69.48
SE,Sweden,Residential,-0.134,0.779,0.655,0.925,0.914,0.995,-0.152,0.744,0.911,0.846,1.418,0.996,0.989,0.048,0.507,1.119,1.063,1.584,3.826,5.696,3.434,4.522,7.637,9.499,11.416,11.043,11.719,5.612,4.826,10.995,11.252,10.899,11.046,11.145,5.815,5.437,11.212,11.044,11.147,12.821,12.614,6.272,5.71
SE,Sweden,Retail & recreation,1.915,1.708,8.125,4.846,7.368,6.662,7.674,-0.767,1.104,0.094,-2.356,0.476,2.201,4.997,0.792,-2.211,-3.581,-4.353,-11.556,-13.089,-16.599,-24.901,-18.543,-24.387,-26.113,-22.223,-23.765,-26.262,-26.49,-24.72,-25.23,-18.738,-18.351,-18.702,-23.622,-23.986,-22.461,-21.957,-22.428,-26.636,-25.1,-26.481,-24.878
SE,Sweden,Transit stations,0.253,-3.112,-2.542,-4.982,-2.477,-0.957,4.534,-5.549,-2.849,-4.141,-5.28,-3.675,-0.751,5.878,-5.76,-4.773,-5.745,-7.328,-15.838,-19.419,-13.36,-30.237,-25.204,-31.635,-36.7,-34.896,-37.469,-27.552,-32.753,-38.148,-37.346,-36.302,-35.153,-35.274,-29.496,-36.419,-39.166,-37.312,-37.708,-42.574,-40.663,-31.666,-37.289
SE,Sweden,Workplaces,-0.562,-4.34,-3.839,-4.279,-5.031,-6.219,0.197,-2.447,-1.948,-1.595,-1.837,-1.723,-2.032,0.331,-1.346,-0.391,0.233,-1.252,-4.452,-9.541,-5.732,-9.894,-16.707,-21.188,-26.884,-27.571,-28.11,-13.047,-14.834,-27.36,-27.54,-27.56,-28.394,-28.596,-14.558,-17.773,-29.043,-28.697,-28.717,-30.158,-30.626,-16.079,-17.902
TR,Turkey,Grocery & pharmacy,5.201,3.131,5.872,5.632,4.197,2.832,-2.232,10.017,6.708,8.556,7.164,7.54,10.421,12.47,15.173,8.009,6.522,21.222,19.49,13.859,10.254,4.778,13.041,14.057,0.724,-3.026,-6.234,-10.241,-19.805,-12.59,-21.441,-21.534,-19.574,-21.18,-27.406,-39.337,-24.231,-27.144,-24.764,-26.644,-22.107,-30.248,-39.602
