Country,location,category,codes,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,headline_percent
UK,Bedford,grocery_pharm,GB,-6,2,-3,1,-0,2,0,2,1,4,-1,2,3,2,4,5,4,4,4,6,2,6,3,5,6,13,16,9,5,25,25,31,32,15,2,-14,-6,-21,-23,-24,-25,-40,-47,-47
UK,Bedford,parks,GB,NA,NA,NA,-2,-17,9,-3,-20,NA,NA,-9,-15,-24,-25,-0,NA,NA,-13,-23,NA,6,-1,NA,NA,2,-6,NA,-15,-38,NA,NA,-9,-6,2,-1,18,NA,NA,NA,-4,-17,-54,-51,-51
UK,Bedford,transit,GB,-32,-5,-10,-9,-14,-8,-2,-24,-5,-4,-5,-6,-4,5,8,-4,-3,-4,-7,-1,-2,-12,-3,-6,-7,-12,-11,-21,-30,-15,-27,-33,-38,-36,-45,-44,-49,-63,-65,-66,-64,-72,-72,-72
UK,Bedford,workplace,GB,-1,-18,-16,-16,-18,-19,-3,-0,-1,-1,-0,-2,-3,-3,-0,-2,-1,0,-1,-2,0,-0,-1,-1,-2,-3,-4,-4,-3,-7,-14,-20,-25,-26,-21,-24,-42,-53,-59,-61,-62,-51,-49,-49
UK,Bedford,residential,GB,1,3,3,3,3,3,0,-0,1,0,1,1,1,0,-0,0,1,1,1,0,-0,-0,1,1,1,2,2,2,2,3,7,10,11,12,10,NA,17,24,26,27,28,NA,NA,28.000000000000004
UK,Belfast,retail_recr,GB,-1,7,8,3,6,-1,-5,1,1,-0,-1,3,-1,-1,3,3,6,6,3,-2,-3,2,-4,1,-2,-3,-8,-19,-18,-7,-30,-28,-30,-38,-52,-61,-49,-70,-74,-75,-77,-81,-85,-85
UK,Belfast,grocery_pharm,GB,-5,-6,-3,-7,-2,-2,-3,-1,0,5,-0,2,2,-2,2,1,2,3,3,3,-1,1,-0,7,5,23,18,7,5,18,-6,7,8,3,1,-21,-13,-21,-27,-30,-28,-29,-42,-42
UK,Belfast,parks,GB,-21,-1,7,-21,3,-16,-23,6,-17,-0,-4,10,-13,-16,-7,-1,11,18,11,1,-5,-2,-19,11,-9,-18,-6,-29,-2,-11,-30,-9,-5,11,-29,-5,-27,-31,-40,-14,-44,-44,-47,-47
UK,Belfast,transit,GB,1,-3,-4,-6,-5,-4,-6,9,-3,-1,-3,4,0,-4,0,-0,0,-0,-5,-5,-6,-6,-9,-8,-12,-15,-18,-29,-24,-29,-56,-42,-46,-49,-55,-54,-60,-68,-72,-74,-77,-74,-76,-76
UK,Belfast,workplace,GB,2,-13,-13,-13,-12,-12,0,1,-2,0,0,0,0,-0,0,1,-0,0,0,1,-0,0,-1,-1,-2,-3,-6,-5,-6,-26,-59,-31,-33,-36,-32,-36,-49,-62,-69,-71,-71,-62,-59,-59
UK,Belfast,residential,GB,1,2,2,3,2,2,1,-0,1,0,-0,-1,-0,0,0,-0,-0,-0,0,-1,0,-0,1,1,1,2,2,4,3,7,17,12,13,14,12,10,18,24,27,28,29,20,17,17
UK,Blackburn with Darwen,retail_recr,GB,-2,4,10,-2,3,-4,-3,-4,-5,-4,13,1,0,15,6,5,4,4,7,7,-2,4,0,-1,-3,0,-2,-9,-5,-2,-9,-18,-11,-19,-44,-51,-40,-70,-74,-73,-75,-83,-85,-85
UK,Blackburn with Darwen,grocery_pharm,GB,-3,-0,-1,-3,-2,-6,-0,1,-1,8,-0,2,3,0,8,3,-0,6,1,5,1,7,-0,2,6,10,13,12,15,25,26,29,32,14,4,-7,-4,-19,-22,-24,-28,-37,-42,-42
UK,Blackburn with Darwen,parks,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK,Blackburn with Darwen,transit,GB,-2,-1,-12,-10,-11,-11,-8,-5,1,-2,-1,-2,2,0,5,2,-4,0,3,1,0,10,-3,-3,-4,0,1,-12,-2,-6,-18,-25,-18,-20,-29,-17,-34,-63,-64,-64,-66,-74,-71,-71
UK,Blackburn with Darwen,workplace,GB,4,-16,-16,-16,-18,-19,-0,-1,-2,-0,0,1,-0,3,2,2,1,1,2,3,5,6,2,1,3,2,-0,1,1,-2,-6,-12,-15,-18,-18,-19,-34,-47,-55,-58,-59,-53,-50,-50
UK,Blackburn with Darwen,residential,GB,NA,3,3,3,4,4,0,NA,1,1,1,1,1,-0,NA,0,1,-0,-0,-0,-1,NA,0,1,1,1,1,1,NA,2,4,6,7,9,9,NA,14,20,23,24,25,NA,NA,25
UK,Blackpool,retail_recr,GB,21,21,17,15,15,5,4,12,-6,10,-0,3,-5,7,4,1,7,11,6,6,7,15,0,10,3,1,2,2,7,5,-5,-13,-12,-25,-53,-57,-41,-71,-73,-73,-77,-87,-87,-88
UK,Blackpool,grocery_pharm,GB,-0,1,-2,-7,0,-1,-0,1,-2,3,-2,-1,1,1,4,2,3,4,2,5,4,6,0,4,1,7,10,6,10,17,21,17,21,9,6,-8,-7,-23,-26,-25,-28,-40,-43,-43
UK,Blackpool,parks,GB,NA,NA,NA,NA,NA,NA,35,36,NA,NA,NA,4,-0,26,36,NA,NA,NA,NA,NA,75,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22,16,NA,NA,-14,-22,-28,-69,-64,-64
UK,Blackpool,transit,GB,3,7,1,-6,-8,-10,-6,-3,-7,4,-5,2,-4,-3,-1,4,3,2,0,11,9,15,2,3,-3,-8,4,-1,3,-2,-8,-22,-23,-20,-34,-18,-40,-51,-52,-54,-58,-70,-65,-65
UK,Blackpool,workplace,GB,2,-14,-13,-14,-15,-15,-0,3,-3,2,1,-1,-1,0,2,-1,1,1,1,2,4,2,0,1,1,0,1,1,-0,-4,-6,-14,-17,-19,-21,-28,-36,-49,-57,-58,-59,-54,-54,-54
UK,Blackpool,residential,GB,1,2,2,3,3,3,1,-0,2,0,1,1,1,0,-0,-0,0,0,0,-0,-1,-1,1,0,1,1,1,1,1,2,4,7,7,8,8,NA,12,18,20,21,22,NA,NA,22
UK,Blaenau Gwent,retail_recr,GB,-17,4,1,-4,-3,-2,-3,-2,-2,-1,-0,0,-7,-1,6,8,10,0,0,4,5,3,1,3,2,-4,3,-5,-8,9,-6,-17,-17,-16,-30,-35,-28,-65,-69,-70,-68,-74,-75,-75
UK,Blaenau Gwent,grocery_pharm,GB,-9,-5,1,-5,-4,-2,-2,-6,-0,11,-5,0,-3,10,-3,-0,2,2,3,6,1,-2,0,4,5,15,10,8,0,15,17,19,24,7,10,-11,-9,-24,-28,-31,-34,-39,-46,-46
UK,Blaenau Gwent,parks,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK,Blaenau Gwent,transit,GB,NA,-16,-14,-21,-21,-18,-16,NA,-11,-7,-9,0,-9,-12,NA,-2,2,-9,0,0,-6,NA,-2,-4,-10,-11,2,-20,NA,-5,-21,-28,-19,-18,-14,NA,-35,-47,-50,-49,-49,-57,NA,-56.99999999999999
UK,Blaenau Gwent,workplace,GB,-7,-13,-11,-15,-16,-15,1,-1,-2,4,1,0,-1,2,-1,2,2,2,3,2,3,-4,1,3,2,3,-2,-2,-6,-3,-6,-12,-14,-20,-12,-21,-32,-45,-52,-54,-56,-48,-46,-46
UK,Blaenau Gwent,residential,GB,NA,3,3,4,4,3,NA,NA,1,1,1,1,2,NA,NA,0,-1,1,0,-0,NA,NA,1,0,1,0,0,NA,NA,2,4,7,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
UK,Borough of Halton,retail_recr,GB,10,4,8,2,2,-1,-5,3,-1,-0,-2,2,1,-0,6,5,4,3,3,3,-4,11,-0,1,3,0,1,-6,9,3,-3,-9,-4,-14,-36,-47,-38,-65,-67,-67,-69,-77,-78,-78
UK,Borough of Halton,grocery_pharm,GB,-5,-2,1,-5,-0,-1,0,-1,-2,9,0,3,4,2,6,5,3,4,3,3,-1,3,2,7,2,11,12,-6,-4,4,11,7,13,11,5,-11,-8,-21,-30,-29,-27,-39,-43,-43
UK,Borough of Halton,parks,GB,NA,NA,NA,NA,NA,NA,-17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62,-46,-46
UK,Borough of Halton,transit,GB,-4,-6,-3,-3,-6,-3,-4,-3,-5,1,-3,-2,2,6,7,-2,-7,1,0,4,5,4,-1,-2,-1,-2,-1,-3,-8,-11,-16,-28,-24,-27,-31,-19,-41,-57,-57,-57,-57,-63,-60,-60
UK,Borough of Halton,workplace,GB,1,-14,-13,-14,-15,-15,1,-2,-3,-0,1,1,2,3,5,1,1,2,3,1,3,3,1,1,1,-0,-1,-1,0,-4,-7,-14,-18,-21,-16,-20,-37,-50,-57,-59,-60,-50,-48,-48
UK,Borough of Halton,residential,GB,NA,2,2,3,4,3,0,NA,1,1,0,1,1,-0,NA,0,0,0,0,-0,-1,NA,1,0,0,1,1,NA,NA,2,4,7,8,9,NA,NA,14,21,23,24,25,NA,NA,25
UK,Bracknell Forest,retail_recr,GB,-10,14,12,11,14,13,-1,-3,-3,2,-1,3,3,1,7,3,1,-1,-2,1,-5,-4,-1,-2,-0,-0,-5,-11,-19,-5,-14,-17,-18,-27,-45,-55,-42,-67,-68,-70,-72,-82,-83,-83
UK,Bracknell Forest,grocery_pharm,GB,-5,3,-1,-5,1,2,1,-2,3,8,3,1,4,6,3,9,4,6,4,10,5,3,8,8,7,17,16,15,9,30,33,37,36,20,12,-6,1,-15,-15,-21,-24,-35,-41,-41
UK,Bracknell Forest,parks,GB,NA,NA,NA,NA,NA,NA,-7,-24,NA,NA,NA,NA,NA,-35,-0,NA,NA,NA,NA,NA,-8,-2,NA,NA,NA,NA,NA,-12,-17,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,-45,-56,-56.00000000000001
UK,Bracknell Forest,transit,GB,-8,-4,-4,-10,-4,-7,0,10,-5,-2,-5,-3,-3,-3,-8,-3,-5,-10,-11,-7,0,-2,-1,-7,-11,-17,-15,-21,-8,-19,-34,-40,-46,-45,-48,-35,-57,-69,-72,-72,-70,-75,-69,-69
UK,Bracknell Forest,workplace,GB,-4,-16,-16,-15,-17,-18,-3,-0,-3,-1,1,-1,-2,1,-3,-2,-1,-1,-2,-3,1,-3,-2,-2,-2,-5,-8,-3,-9,-14,-23,-31,-35,-36,-26,-32,-52,-65,-69,-72,-71,-56,-58,-57.99999999999999
UK,Bracknell Forest,residential,GB,NA,2,3,3,3,3,NA,NA,1,1,0,1,0,NA,NA,-0,1,1,2,0,NA,NA,1,2,2,2,3,NA,NA,5,10,14,15,15,NA,NA,20,28,30,31,NA,NA,NA,31
UK,Bridgend County Borough,retail_recr,GB,-11,13,11,6,10,8,-1,-1,-6,-1,2,7,-14,5,9,9,9,-3,4,3,1,8,2,-3,2,3,3,2,-4,9,-11,-15,-15,-20,-37,-52,-38,-67,-71,-71,-75,-81,-85,-85
UK,Bridgend County Borough,grocery_pharm,GB,-6,0,1,-2,1,3,-3,0,-2,6,2,4,1,6,6,6,8,5,6,8,1,3,2,4,8,17,13,12,9,18,20,21,22,10,12,-11,-8,-23,-28,-30,-31,-40,-43,-43
UK,Bridgend County Borough,parks,GB,NA,NA,NA,NA,NA,NA,-5,30,NA,NA,NA,NA,-6,-11,30,NA,NA,NA,NA,NA,33,67,NA,NA,NA,NA,NA,45,51,NA,NA,NA,NA,NA,75,79,NA,NA,NA,NA,-17,-61,-48,-48
UK,Bridgend County Borough,transit,GB,-14,-4,-1,-8,-7,-4,7,6,-5,-2,1,1,-2,-16,7,-1,6,-6,-3,-1,-3,9,-3,-2,-4,-6,-2,-11,-5,-9,-18,-28,-30,-28,-35,-5,-37,-56,-59,-58,-61,-66,-59,-59
UK,Bridgend County Borough,workplace,GB,2,-15,-14,-15,-15,-15,1,1,-3,1,-0,2,-3,1,5,1,2,1,1,1,2,1,-2,-1,-1,-2,-2,-2,2,-6,-12,-18,-21,-25,-22,-23,-39,-53,-59,-61,-62,-54,-50,-50
UK,Bridgend County Borough,residential,GB,NA,3,3,3,3,2,1,NA,2,1,1,0,3,2,NA,0,-0,1,0,-0,1,NA,1,2,1,2,1,3,NA,3,7,9,10,11,NA,NA,15,21,24,24,25,NA,NA,25
UK,Brighton and Hove,retail_recr,GB,-18,14,13,10,10,10,1,2,-5,3,2,-1,-7,12,6,14,2,-5,-13,8,1,4,3,-6,-4,-2,-4,-11,-14,-1,-22,-31,-34,-46,-62,-68,-56,-77,-78,-79,-81,-88,-89,-89
UK,Brighton and Hove,grocery_pharm,GB,-14,-0,-3,-2,-2,-1,-1,-3,-4,5,1,2,-5,-0,2,4,3,-1,-5,6,1,3,1,3,6,10,11,7,5,15,18,18,18,2,-2,-17,-15,-28,-31,-31,-35,-42,-48,-48
UK,Brighton and Hove,parks,GB,-49,20,30,13,12,23,-10,18,-18,2,15,7,-32,-25,25,32,24,-14,-31,34,-3,19,12,-13,5,18,9,-4,6,66,16,-2,-3,-22,-9,3,15,-10,5,5,-18,-60,-59,-59
UK,Brighton and Hove,transit,GB,-9,-2,-0,-2,-4,2,-0,17,-4,-3,-1,-1,-0,14,10,3,0,-5,-5,5,2,6,-2,-4,-5,-6,-8,-15,-11,-17,-32,-40,-45,-49,-50,-53,-57,-68,-72,-72,-73,-75,-77,-77
